x,y,z
1202.492,1516.948,-4193.078
1210.418,1516.912,-4192.428
1218.335,1516.874,-4191.681
1226.239,1516.833,-4190.836
1234.13,1516.789,-4189.894
1242.006,1516.742,-4188.854
1249.866,1516.692,-4187.717
1257.709,1516.638,-4186.482
1265.532,1516.581,-4185.15
1273.336,1516.521,-4183.72
1281.118,1516.457,-4182.192
1288.876,1516.39,-4180.567
1296.61,1516.318,-4178.844
1304.318,1516.243,-4177.023
1311.999,1516.164,-4175.105
1319.652,1516.081,-4173.088
1327.274,1515.994,-4170.974
1334.864,1515.902,-4168.762
1342.422,1515.807,-4166.452
1349.946,1515.707,-4164.043
1357.433,1515.602,-4161.537
1364.884,1515.493,-4158.933
1372.296,1515.379,-4156.23
1379.668,1515.261,-4153.43
1387,1515.138,-4150.531
1394.29,1515.011,-4147.536
1401.539,1514.879,-4144.443
1408.744,1514.745,-4141.255
1415.906,1514.607,-4137.97
1423.025,1514.466,-4134.591
1430.099,1514.322,-4131.116
1437.128,1514.176,-4127.548
1444.111,1514.028,-4123.887
1451.048,1513.879,-4120.131
1457.938,1513.728,-4116.284
1464.78,1513.576,-4112.345
1471.574,1513.424,-4108.313
1478.32,1513.271,-4104.191
1485.016,1513.119,-4099.979
1491.661,1512.966,-4095.677
1498.257,1512.815,-4091.286
1504.801,1512.664,-4086.805
1511.293,1512.514,-4082.236
1517.733,1512.367,-4077.58
1524.119,1512.221,-4072.836
1530.452,1512.077,-4068.005
1536.731,1511.937,-4063.088
1542.954,1511.799,-4058.086
1549.122,1511.664,-4052.998
1555.234,1511.533,-4047.826
1561.289,1511.406,-4042.569
1567.287,1511.283,-4037.229
1573.226,1511.165,-4031.807
1579.107,1511.051,-4026.301
1584.929,1510.943,-4020.713
1590.69,1510.841,-4015.045
1596.392,1510.744,-4009.295
1602.032,1510.653,-4003.465
1607.61,1510.569,-3997.554
1613.126,1510.492,-3991.564
1618.579,1510.423,-3985.497
1623.969,1510.36,-3979.35
1629.294,1510.306,-3973.125
1634.554,1510.26,-3966.824
1639.749,1510.222,-3960.445
1644.878,1510.193,-3953.991
1649.94,1510.173,-3947.461
1654.936,1510.163,-3940.855
1659.863,1510.162,-3934.176
1664.721,1510.172,-3927.422
1669.511,1510.192,-3920.594
1674.23,1510.223,-3913.694
1678.88,1510.265,-3906.72
1683.458,1510.318,-3899.676
1687.965,1510.384,-3892.56
1692.399,1510.461,-3885.372
1696.762,1510.55,-3878.117
1701.053,1510.65,-3870.796
1705.272,1510.761,-3863.412
1709.42,1510.883,-3855.968
1713.497,1511.014,-3848.466
1717.502,1511.155,-3840.91
1721.437,1511.305,-3833.301
1725.302,1511.464,-3825.643
1729.096,1511.63,-3817.939
1732.82,1511.805,-3810.189
1736.474,1511.987,-3802.4
1740.059,1512.176,-3794.571
1743.574,1512.371,-3786.707
1747.02,1512.572,-3778.809
1750.397,1512.779,-3770.881
1753.705,1512.991,-3762.926
1756.945,1513.207,-3754.945
1760.117,1513.428,-3746.942
1763.22,1513.653,-3738.919
1766.256,1513.881,-3730.879
1769.224,1514.111,-3722.826
1772.125,1514.345,-3714.76
1774.958,1514.58,-3706.686
1777.724,1514.817,-3698.606
1780.424,1515.055,-3690.522
1783.057,1515.294,-3682.438
1785.624,1515.533,-3674.356
1788.125,1515.772,-3666.278
1790.56,1516.011,-3658.208
1792.929,1516.248,-3650.148
1795.233,1516.484,-3642.102
1797.472,1516.718,-3634.07
1799.646,1516.95,-3626.057
1801.754,1517.178,-3618.065
1803.799,1517.404,-3610.097
1805.779,1517.626,-3602.154
1807.695,1517.843,-3594.241
1809.547,1518.057,-3586.36
1811.335,1518.265,-3578.514
1813.061,1518.467,-3570.704
1814.722,1518.664,-3562.935
1816.321,1518.855,-3555.208
1817.857,1519.039,-3547.527
1819.331,1519.215,-3539.894
1820.742,1519.384,-3532.311
1822.091,1519.545,-3524.781
1823.378,1519.697,-3517.309
1824.604,1519.841,-3509.895
1825.768,1519.974,-3502.542
1826.871,1520.099,-3495.254
1827.913,1520.212,-3488.033
1828.895,1520.315,-3480.879
1829.823,1520.407,-3473.788
1830.702,1520.486,-3466.752
1831.536,1520.552,-3459.769
1832.332,1520.604,-3452.831
1833.093,1520.642,-3445.934
1833.825,1520.664,-3439.07
1834.533,1520.67,-3432.236
1835.223,1520.659,-3425.425
1835.899,1520.631,-3418.633
1836.566,1520.584,-3411.853
1837.23,1520.517,-3405.08
1837.896,1520.431,-3398.309
1838.569,1520.324,-3391.532
1839.254,1520.195,-3384.747
1839.956,1520.045,-3377.946
1840.681,1519.871,-3371.124
1841.432,1519.673,-3364.276
1842.217,1519.451,-3357.396
1843.038,1519.203,-3350.479
1843.903,1518.929,-3343.519
1844.816,1518.629,-3336.51
1845.781,1518.3,-3329.447
1846.805,1517.944,-3322.324
1847.892,1517.558,-3315.137
1849.047,1517.142,-3307.879
1850.276,1516.695,-3300.544
1851.583,1516.217,-3293.129
1852.974,1515.707,-3285.625
1854.454,1515.164,-3278.029
1856.028,1514.586,-3270.334
1857.701,1513.975,-3262.536
1859.479,1513.328,-3254.628
1861.365,1512.645,-3246.605
1863.366,1511.925,-3238.461
1865.487,1511.167,-3230.192
1867.732,1510.371,-3221.791
1870.107,1509.536,-3213.252
1872.617,1508.661,-3204.571
1875.267,1507.745,-3195.742
1878.063,1506.788,-3186.759
1881.008,1505.789,-3177.616
1884.11,1504.746,-3168.309
1887.371,1503.66,-3158.831
1890.799,1502.53,-3149.178
1894.397,1501.354,-3139.342
1898.171,1500.132,-3129.32
1902.126,1498.863,-3119.105
1906.267,1497.547,-3108.693
1910.6,1496.182,-3098.076
1915.129,1494.768,-3087.25
1919.859,1493.304,-3076.21
1924.792,1491.79,-3064.956
1929.925,1490.225,-3053.491
1935.255,1488.607,-3041.823
1940.779,1486.937,-3029.957
1946.495,1485.214,-3017.897
1952.4,1483.436,-3005.648
1958.491,1481.604,-2993.217
1964.765,1479.716,-2980.608
1971.22,1477.773,-2967.827
1977.853,1475.772,-2954.879
1984.662,1473.715,-2941.77
1991.643,1471.599,-2928.504
1998.794,1469.424,-2915.088
2006.111,1467.19,-2901.526
2013.593,1464.896,-2887.823
2021.238,1462.542,-2873.985
2029.04,1460.125,-2860.018
2036.999,1457.647,-2845.927
2045.111,1455.106,-2831.716
2053.374,1452.501,-2817.392
2061.785,1449.832,-2802.958
2070.341,1447.098,-2788.422
2079.039,1444.299,-2773.787
2087.877,1441.433,-2759.061
2096.853,1438.5,-2744.247
2105.962,1435.5,-2729.351
2115.203,1432.432,-2714.378
2124.573,1429.295,-2699.335
2134.069,1426.088,-2684.224
2143.688,1422.81,-2669.054
2153.427,1419.462,-2653.828
2163.285,1416.042,-2638.552
2173.258,1412.55,-2623.232
2183.343,1408.985,-2607.871
2193.538,1405.346,-2592.477
2203.84,1401.633,-2577.053
2214.246,1397.844,-2561.607
2224.753,1393.98,-2546.141
2235.36,1390.04,-2530.664
2246.062,1386.022,-2515.178
2256.857,1381.927,-2499.69
2267.744,1377.753,-2484.205
2278.718,1373.5,-2468.729
2289.776,1369.167,-2453.266
2300.917,1364.754,-2437.822
2312.138,1360.26,-2422.402
2323.436,1355.684,-2407.011
2334.808,1351.025,-2391.656
2346.251,1346.283,-2376.341
2357.763,1341.457,-2361.072
2369.342,1336.547,-2345.852
2380.983,1331.551,-2330.689
2392.688,1326.47,-2315.581
2404.456,1321.303,-2300.526
2416.288,1316.05,-2285.523
2428.186,1310.711,-2270.569
2440.149,1305.285,-2255.662
2452.177,1299.772,-2240.8
2464.272,1294.172,-2225.98
2476.435,1288.484,-2211.202
2488.665,1282.709,-2196.463
2500.963,1276.846,-2181.76
2513.33,1270.895,-2167.092
2525.766,1264.855,-2152.456
2538.272,1258.727,-2137.851
2550.848,1252.51,-2123.275
2563.496,1246.204,-2108.725
2576.215,1239.808,-2094.199
2589.006,1233.322,-2079.694
2601.87,1226.747,-2065.211
2614.806,1220.081,-2050.745
2627.817,1213.325,-2036.296
2640.902,1206.478,-2021.859
2654.062,1199.54,-2007.435
2667.297,1192.511,-1993.021
2680.608,1185.391,-1978.615
2693.997,1178.178,-1964.213
2707.462,1170.874,-1949.816
2721.005,1163.477,-1935.419
2734.625,1155.988,-1921.023
2748.325,1148.406,-1906.623
2762.105,1140.73,-1892.218
2775.964,1132.962,-1877.807
2789.903,1125.1,-1863.386
2803.924,1117.144,-1848.955
2818.027,1109.093,-1834.51
2832.211,1100.949,-1820.05
2846.478,1092.71,-1805.573
2860.828,1084.376,-1791.077
2875.262,1075.948,-1776.559
2889.782,1067.423,-1762.017
2904.385,1058.803,-1747.45
2919.074,1050.087,-1732.856
2933.849,1041.275,-1718.231
2948.712,1032.366,-1703.575
2963.661,1023.361,-1688.885
2978.698,1014.259,-1674.159
2993.823,1005.06,-1659.395
